zip,primary_city,state,area_codes
68792,Wynot,NE,402
33944,Palmdale,FL,863
48829,Edmore,MI,989
57402,Aberdeen,SD,605
72554,Mammoth Spring,AR,870
48615,Breckenridge,MI,989
80473,Rand,CO,970
29349,Inman,SC,864
94267,Sacramento,CA,916
77875,Roans Prairie,TX,936
96029,Flournoy,CA,530
04966,Phillips,ME,207
95922,Camptonville,CA,530
39754,Montpelier,MS,662
60685,Chicago,IL,312
08010,Beverly,NJ,609
30916,Augusta,GA,706
03457,Nelson,NH,603
99748,Kaltag,AK,907
36575,Semmes,AL,251
38588,Whitleyville,TN,931
63825,Bloomfield,MO,573
03583,Jefferson,NH,603
59903,Kalispell,MT,406
49237,Concord,MI,517
65532,Lake Spring,MO,573
79079,Shamrock,TX,806
99039,Waverly,WA,509
53566,Monroe,WI,608
65787,Roach,MO,573
63053,Kimmswick,MO,636
60049,Lake Zurich,IL,847
19141,Philadelphia,PA,215
49087,Schoolcraft,MI,269
16875,Spring Mills,PA,814
96068,Nubieber,CA,530
32540,Destin,FL,850
68055,Rosalie,NE,402
57658,Wakpala,SD,605
56147,Kenneth,MN,507
07202,Elizabeth,NJ,908
73093,Washington,OK,405
57276,White,SD,605
76302,Wichita Falls,TX,940
19192,Philadelphia,PA,215
48371,Oxford,MI,248
57188,Sioux Falls,SD,605
29547,Hamer,SC,843
99335,Kahlotus,WA,509
